,country,year,d_terror,preds_proba,preds
117,Netherlands,2018,1,0.1317927987179956,0
118,Netherlands,2019,1,0.28926164779163505,0
119,Netherlands,2020,0,0.29538681179242204,0
120,Belgium,2017,1,0.4468725947739432,0
121,Belgium,2018,1,0.4218638702226158,0
122,Belgium,2019,0,0.4235709393764025,0
123,Belgium,2020,0,0.32954811459221445,0
124,Luxembourg,2017,0,0.0368488008134965,0
125,Luxembourg,2018,0,0.03736904185592324,0
126,Luxembourg,2019,0,0.045681250708378876,0
127,Luxembourg,2020,0,0.061620523306012566,0
128,France,2017,1,0.6972099861076974,1
129,France,2018,1,0.6783314098319594,1
130,France,2019,1,0.6209753317895264,1
131,France,2020,1,0.591880301892591,1
132,Switzerland,2017,0,0.04679451989328248,0
133,Switzerland,2018,0,0.05407347227079152,0
134,Switzerland,2019,0,0.07697002370545918,0
135,Switzerland,2020,1,0.09660044714046274,0
136,Spain,2017,1,0.14605918391826975,0
137,Spain,2018,0,0.3024111604930456,0
138,Spain,2019,0,0.24750418064376356,0
139,Spain,2020,0,0.22442860506071924,0
140,Portugal,2017,0,0.11734461901214442,0
141,Portugal,2018,0,0.09302204772245673,0
142,Portugal,2019,0,0.13618794941938842,0
143,Portugal,2020,0,0.16342552776603644,0
144,Germany,2017,1,0.6354169024210985,1
145,Germany,2018,0,0.6033355414883643,1
146,Germany,2019,1,0.5308221724318283,1
147,Germany,2020,1,0.558606194093198,1
148,Poland,2017,0,0.11962715864806077,0
149,Poland,2018,0,0.13882236428324013,0
150,Poland,2019,0,0.14044915138202144,0
151,Poland,2020,0,0.15582853932171326,0
152,Austria,2017,1,0.12720545402411884,0
153,Austria,2018,1,0.25031715608184857,0
154,Austria,2019,0,0.17443678590267686,0
155,Austria,2020,1,0.16240268955530046,0
156,Hungary,2017,0,0.07175092269104102,0
157,Hungary,2018,0,0.08626115186213026,0
158,Hungary,2019,0,0.10540045261133751,0
159,Hungary,2020,0,0.0965892294109937,0
160,Czechia,2017,0,0.19865037989591286,0
161,Czechia,2018,0,0.2291301599295864,0
162,Czechia,2019,0,0.20493949367847314,0
163,Czechia,2020,0,0.1914158322723405,0
164,Slovakia,2017,0,0.03614514044131928,0
165,Slovakia,2018,0,0.05663598537827414,0
166,Slovakia,2019,0,0.07225755152612437,0
167,Slovakia,2020,0,0.08755834176173047,0
168,Italy,2017,0,0.44392994721716417,0
169,Italy,2018,0,0.3552711247510404,0
170,Italy,2019,0,0.29596514517449535,0
171,Italy,2020,0,0.3047899063625052,0
172,Malta,2017,1,0.07431751400491565,0
173,Malta,2018,0,0.2360356685842582,0
174,Malta,2019,0,0.18988971684370445,0
175,Malta,2020,0,0.19195015588841852,0
176,Albania,2017,0,0.18908697673663447,0
177,Albania,2018,0,0.19895629852815477,0
178,Albania,2019,0,0.18715237551002747,0
179,Albania,2020,0,0.1795108576299502,0
180,Serbia,2017,0,0.08034960204104816,0
181,Serbia,2018,0,0.09354428301062673,0
182,Serbia,2019,0,0.09877159550433157,0
183,Serbia,2020,0,0.16480689481258065,0
184,Montenegro,2017,0,0.07577857707314659,0
185,Montenegro,2018,1,0.0736653185884107,0
186,Montenegro,2019,0,0.15916240735134707,0
187,Montenegro,2020,0,0.1670990834651347,0
188,North Macedonia,2017,0,0.15806775091702432,0
189,North Macedonia,2018,0,0.16193022108029567,0
190,North Macedonia,2019,0,0.13137418123603248,0
191,North Macedonia,2020,0,0.14325972337123596,0
192,Croatia,2017,0,0.05267334599985226,0
193,Croatia,2018,0,0.06257344520659977,0
194,Croatia,2019,0,0.06648328395975991,0
195,Croatia,2020,1,0.07191960573019057,0
196,Bosnia-Herzegovina,2017,0,0.249851856640944,0
197,Bosnia-Herzegovina,2018,0,0.3030331124812032,0
198,Bosnia-Herzegovina,2019,0,0.2884589719955923,0
199,Bosnia-Herzegovina,2020,0,0.2895479068686424,0
200,Slovenia,2017,0,0.05441245903526923,0
201,Slovenia,2018,0,0.06909772034481373,0
202,Slovenia,2019,0,0.07811222180157978,0
203,Slovenia,2020,0,0.08003539701462312,0
204,Greece,2017,0,0.3467864280446104,0
205,Greece,2018,0,0.31645585569541157,0
206,Greece,2019,0,0.3234566931558123,0
207,Greece,2020,0,0.34198047212564875,0
208,Cyprus,2017,0,0.04156704763712078,0
209,Cyprus,2018,0,0.05827012002670216,0
210,Cyprus,2019,0,0.060666362294164874,0
211,Cyprus,2020,0,0.08181627034317936,0
212,Bulgaria,2017,0,0.14150093973697453,0
213,Bulgaria,2018,0,0.15390882019638497,0
214,Bulgaria,2019,0,0.1689236569839493,0
215,Bulgaria,2020,0,0.14723434022750864,0
216,Moldova,2017,0,0.09654280010264407,0
217,Moldova,2018,0,0.11413374854848474,0
218,Moldova,2019,0,0.11731029678782656,0
219,Moldova,2020,0,0.12999473457177624,0
220,Romania,2017,0,0.03689036270556441,0
221,Romania,2018,0,0.05101935168855333,0
222,Romania,2019,0,0.05351468872167272,0
223,Romania,2020,0,0.07502018776501038,0
224,Russia (Soviet Union),2017,1,0.9020683836258336,1
225,Russia (Soviet Union),2018,1,0.8704650999391783,1
226,Russia (Soviet Union),2019,1,0.8637847433958172,1
227,Russia (Soviet Union),2020,1,0.8649509525019856,1
228,Estonia,2017,0,0.0935920451688556,0
229,Estonia,2018,0,0.10876937721932475,0
230,Estonia,2019,0,0.11040382070644356,0
231,Estonia,2020,0,0.11304159195615393,0
232,Latvia,2017,0,0.04659140164912453,0
233,Latvia,2018,0,0.06466043817731146,0
234,Latvia,2019,0,0.07917652725905337,0
235,Latvia,2020,0,0.07977852615097321,0
236,Lithuania,2017,0,0.06366446864015024,0
237,Lithuania,2018,0,0.06600016563080849,0
238,Lithuania,2019,0,0.07421271989819206,0
239,Lithuania,2020,0,0.07082740811064753,0
240,Ukraine,2017,1,0.6832349227688705,1
241,Ukraine,2018,1,0.6070137485483784,1
242,Ukraine,2019,1,0.5960686958841108,1
243,Ukraine,2020,0,0.6206531469877395,1
244,Belarus,2017,0,0.09779408323785381,0
245,Belarus,2018,0,0.13024950774476518,0
246,Belarus,2019,0,0.13563560227896612,0
247,Belarus,2020,0,0.20286508580270302,0
248,Armenia,2017,0,0.38115946296157904,0
249,Armenia,2018,0,0.2812825851538527,0
250,Armenia,2019,0,0.27219898681576243,0
251,Armenia,2020,0,0.300628876780802,0
252,Georgia,2017,0,0.5384719154609036,1
253,Georgia,2018,1,0.41515159092873355,0
254,Georgia,2019,0,0.47051525796913524,0
255,Georgia,2020,0,0.4043528636354018,0
256,Azerbaijan,2017,0,0.4418779017871305,0
257,Azerbaijan,2018,0,0.36897981289726217,0
258,Azerbaijan,2019,0,0.36532560879738196,0
259,Azerbaijan,2020,0,0.39188547191163725,0
260,Finland,2017,1,0.023465129417967884,0
261,Finland,2018,0,0.1616966530282496,0
262,Finland,2019,0,0.048098719141461396,0
263,Finland,2020,0,0.06304393665530222,0
264,Sweden,2017,1,0.30744058898334753,0
265,Sweden,2018,0,0.3301014292647577,0
266,Sweden,2019,0,0.2982192137653297,0
267,Sweden,2020,0,0.2070156213632448,0
268,Norway,2017,0,0.07362768671621936,0
269,Norway,2018,0,0.0813094232048031,0
270,Norway,2019,1,0.07721826403808321,0
271,Norway,2020,0,0.15820011503098427,0
272,Denmark,2017,0,0.23623315792428032,0
273,Denmark,2018,0,0.2014531218198738,0
274,Denmark,2019,0,0.1927055962871104,0
275,Denmark,2020,0,0.22504711192065188,0
276,Iceland,2017,0,0.03255947866143615,0
277,Iceland,2018,0,0.03663149972119475,0
278,Iceland,2019,0,0.04013987537100505,0
279,Iceland,2020,0,0.03905809152593726,0
280,Cabo Verde,2017,0,0.023825393686961134,0
281,Cabo Verde,2018,0,0.02714748208487967,0
282,Cabo Verde,2019,0,0.028679667013703756,0
283,Cabo Verde,2020,0,0.037582014523368235,0
284,Guinea-Bissau,2017,0,0.1622248540120544,0
285,Guinea-Bissau,2018,0,0.1934163983021464,0
286,Guinea-Bissau,2019,0,0.20040454260237578,0
287,Guinea-Bissau,2020,0,0.1952143198043932,0
288,Equatorial Guinea,2017,0,0.09211586817563937,0
289,Equatorial Guinea,2018,0,0.09389586202007726,0
290,Equatorial Guinea,2019,0,0.10245707921911688,0
291,Equatorial Guinea,2020,0,0.11887264432624131,0
292,Gambia,2017,0,0.07232743377853278,0
293,Gambia,2018,0,0.07133493344682625,0
294,Gambia,2019,0,0.09372268790650713,0
295,Gambia,2020,0,0.09216222166986743,0
296,Mali,2017,1,0.8787439778867949,1
297,Mali,2018,1,0.8502525713577802,1
298,Mali,2019,1,0.8523733802121404,1
299,Mali,2020,1,0.8503735930243655,1
300,Senegal,2017,0,0.44088716480905926,0
301,Senegal,2018,1,0.37918676278216684,0
302,Senegal,2019,0,0.49371282885778356,0
303,Senegal,2020,0,0.4380549788413808,0
304,Benin,2017,0,0.051602103330854895,0
305,Benin,2018,0,0.059180957996085665,0
306,Benin,2019,1,0.0895135570423425,0
307,Benin,2020,1,0.2220326367047148,0
308,Mauritania,2017,0,0.24062316319219598,0
309,Mauritania,2018,0,0.19317734616205198,0
310,Mauritania,2019,0,0.22217951444752992,0
311,Mauritania,2020,0,0.2754600339616361,0
312,Niger,2017,1,0.8786987783328837,1
313,Niger,2018,1,0.8467856534096698,1
314,Niger,2019,1,0.8505233714711002,1
315,Niger,2020,1,0.8542208210037548,1
316,Ivory Coast,2017,0,0.6068030757635349,1
317,Ivory Coast,2018,0,0.5096992031514566,1
318,Ivory Coast,2019,0,0.5134566225781257,1
319,Ivory Coast,2020,1,0.47602755434493316,0
320,Guinea,2017,0,0.2965975835508248,0
321,Guinea,2018,1,0.2872149782474153,0
322,Guinea,2019,0,0.3959730825213767,0
323,Guinea,2020,0,0.32405733338183845,0
324,Burkina Faso,2017,1,0.6355453586743002,1
325,Burkina Faso,2018,1,0.6301146397157478,1
326,Burkina Faso,2019,1,0.6319387452139844,1
327,Burkina Faso,2020,1,0.6392339646758962,1
328,Liberia,2017,0,0.10302024810741475,0
329,Liberia,2018,0,0.12137566067917199,0
330,Liberia,2019,0,0.15086612014898565,0
331,Liberia,2020,0,0.12771284665639632,0
332,Sierra Leone,2017,0,0.3673500550565349,0
333,Sierra Leone,2018,0,0.25768495763063315,0
334,Sierra Leone,2019,0,0.24717744443791906,0
335,Sierra Leone,2020,0,0.23300098996656168,0
336,Ghana,2017,0,0.05280432744762346,0
337,Ghana,2018,1,0.06403142156853832,0
338,Ghana,2019,1,0.21448105183440672,0
339,Ghana,2020,1,0.19888555676988953,0
340,Togo,2017,0,0.1516526761221425,0
341,Togo,2018,0,0.16302521834122735,0
342,Togo,2019,0,0.18121434536918182,0
343,Togo,2020,0,0.1778399798152634,0
344,Cameroon,2017,1,0.7035814189702171,1
345,Cameroon,2018,1,0.6621207542563808,1
346,Cameroon,2019,1,0.6688078031560434,1
347,Cameroon,2020,1,0.6688038509270628,1
348,Nigeria,2017,1,0.9234656165837178,1
349,Nigeria,2018,1,0.9002044386636121,1
350,Nigeria,2019,1,0.9119375382133801,1
351,Nigeria,2020,1,0.911505009579166,1
352,Gabon,2017,0,0.05311607189525504,0
353,Gabon,2018,0,0.053143534379649374,0
354,Gabon,2019,1,0.06376208037153153,0
355,Gabon,2020,0,0.194535698293994,0
356,Central African Republic,2017,1,0.8233921702760078,1
357,Central African Republic,2018,1,0.7571699152890565,1
358,Central African Republic,2019,1,0.7649825474455239,1
359,Central African Republic,2020,1,0.7628771674194287,1
360,Chad,2017,1,0.7217376074916045,1
361,Chad,2018,1,0.6910749651611602,1
362,Chad,2019,1,0.7007631259456375,1
363,Chad,2020,1,0.7122315633159823,1
364,Congo,2017,0,0.4663828469308578,0
365,Congo,2018,0,0.36037190433075533,0
366,Congo,2019,0,0.3719080783466975,0
367,Congo,2020,0,0.3436040058885328,0
368,DR Congo (Zaire),2017,1,0.9278495615612141,1
369,DR Congo (Zaire),2018,1,0.903035372009305,1
370,DR Congo (Zaire),2019,1,0.8980532015914691,1
371,DR Congo (Zaire),2020,1,0.9023281047254136,1
372,Uganda,2017,1,0.7684486893525075,1
373,Uganda,2018,1,0.7716451557527186,1
374,Uganda,2019,1,0.7504542583420959,1
375,Uganda,2020,0,0.742596596368497,1
376,Kenya,2017,1,0.914232497188461,1
377,Kenya,2018,1,0.9159463441324655,1
378,Kenya,2019,1,0.9103527560776309,1
379,Kenya,2020,1,0.8822178823385066,1
380,Tanzania,2017,1,0.7156659851748612,1
381,Tanzania,2018,1,0.65878572719985,1
382,Tanzania,2019,1,0.6534353019374027,1
383,Tanzania,2020,1,0.649632027733475,1
384,Burundi,2017,1,0.8499529726274773,1
385,Burundi,2018,1,0.8330535553464393,1
386,Burundi,2019,1,0.8141936571553716,1
387,Burundi,2020,1,0.7694184918295999,1
388,Rwanda,2017,1,0.4172147411040339,0
389,Rwanda,2018,1,0.5473872530765104,1
390,Rwanda,2019,1,0.5290802035837471,1
391,Rwanda,2020,0,0.515509094085637,1
392,Somalia,2017,1,0.8750277821617061,1
393,Somalia,2018,1,0.8655674867687353,1
394,Somalia,2019,1,0.854815649302699,1
395,Somalia,2020,1,0.8491628845025738,1
396,Djibouti,2017,0,0.16647496250327282,0
397,Djibouti,2018,0,0.09963318797117482,0
398,Djibouti,2019,0,0.1143351973557455,0
399,Djibouti,2020,0,0.11924806880460964,0
400,Ethiopia,2017,1,0.9167239152728274,1
401,Ethiopia,2018,1,0.8724385752039784,1
402,Ethiopia,2019,1,0.8650759750389819,1
403,Ethiopia,2020,1,0.8114395817087392,1
404,Eritrea,2017,0,0.24808545020977055,0
405,Eritrea,2018,0,0.2602551012815122,0
406,Eritrea,2019,0,0.26575559699624685,0
407,Eritrea,2020,0,0.2251738576444946,0
408,Angola,2017,1,0.20433450944925086,0
409,Angola,2018,0,0.30618633794045813,0
410,Angola,2019,1,0.29175765711728363,0
411,Angola,2020,1,0.363680159566709,0
412,Mozambique,2017,1,0.736902077439723,1
413,Mozambique,2018,1,0.6852058251557083,1
414,Mozambique,2019,1,0.6738196651940662,1
415,Mozambique,2020,1,0.7092548152341305,1
416,Zambia,2017,0,0.14297213639760067,0
417,Zambia,2018,0,0.14902670271392207,0
418,Zambia,2019,0,0.16632269427091853,0
419,Zambia,2020,0,0.17042881274032745,0
420,Zimbabwe,2017,0,0.16746187169338578,0
421,Zimbabwe,2018,1,0.2031636796149105,0
422,Zimbabwe,2019,0,0.3594662299861452,0
423,Zimbabwe,2020,0,0.2806944940175525,0
424,Malawi,2017,0,0.10546408580876857,0
425,Malawi,2018,0,0.11099843847129086,0
426,Malawi,2019,0,0.12742036571321658,0
427,Malawi,2020,0,0.12340248703906276,0
428,South Africa,2017,1,0.7078925507059677,1
429,South Africa,2018,1,0.7005492392694012,1
430,South Africa,2019,1,0.6859420231803042,1
431,South Africa,2020,1,0.641842436552668,1
432,Namibia,2017,0,0.07459672449795063,0
433,Namibia,2018,0,0.08186235468289235,0
434,Namibia,2019,0,0.10540245450185814,0
435,Namibia,2020,0,0.07719366833723543,0
436,Lesotho,2017,0,0.21469118785484576,0
437,Lesotho,2018,0,0.1405583333105949,0
438,Lesotho,2019,0,0.2128157339678093,0
439,Lesotho,2020,0,0.1498300475558075,0
440,Botswana,2017,0,0.040072577394481126,0
441,Botswana,2018,0,0.04701277242230342,0
442,Botswana,2019,0,0.07207447343310017,0
443,Botswana,2020,0,0.05406450083608774,0
444,eSwatini,2017,0,0.03546725611127213,0
445,eSwatini,2018,0,0.047407205323957,0
446,eSwatini,2019,0,0.06192886775325285,0
447,eSwatini,2020,0,0.06360180595640103,0
448,Madagascar,2017,0,0.4952885190291714,0
449,Madagascar,2018,0,0.4117218273710217,0
450,Madagascar,2019,0,0.4050712873382407,0
451,Madagascar,2020,0,0.36064031436672256,0
452,Comoros,2017,0,0.029808880186302303,0
453,Comoros,2018,0,0.04645376235950302,0
454,Comoros,2019,0,0.08197935558823455,0
455,Comoros,2020,0,0.08521544271580572,0
456,Mauritius,2017,0,0.05759882759217655,0
457,Mauritius,2018,0,0.05298547337687495,0
458,Mauritius,2019,0,0.05431045708591278,0
459,Mauritius,2020,0,0.09042773047497624,0
460,Morocco,2017,0,0.1997737175839971,0
461,Morocco,2018,1,0.2019201907745214,0
462,Morocco,2019,0,0.32272748044736843,0
463,Morocco,2020,0,0.3009725826483042,0
464,Algeria,2017,1,0.9179609823169994,1
465,Algeria,2018,1,0.89968192671123,1
466,Algeria,2019,0,0.8679558353543411,1
467,Algeria,2020,1,0.7752849355776408,1
468,Tunisia,2017,1,0.7624168272053156,1
469,Tunisia,2018,1,0.7801659642853149,1
470,Tunisia,2019,1,0.7530769950164619,1
471,Tunisia,2020,1,0.7033591177881084,1
472,Libya,2017,1,0.715136791716881,1
473,Libya,2018,1,0.7348428591761708,1
474,Libya,2019,1,0.7239198200511446,1
475,Libya,2020,1,0.6724777297561897,1
476,Sudan,2017,1,0.8959829640991562,1
477,Sudan,2018,1,0.891869758983651,1
478,Sudan,2019,1,0.8505927188631333,1
479,Sudan,2020,1,0.8495736751247368,1
480,South Sudan,2017,1,0.7741327404210877,1
481,South Sudan,2018,1,0.7386585340438597,1
482,South Sudan,2019,1,0.7717795336012105,1
483,South Sudan,2020,1,0.7588961863422753,1
484,Iran,2017,1,0.9099115707881473,1
485,Iran,2018,1,0.9076830266415012,1
486,Iran,2019,1,0.8958434515626802,1
487,Iran,2020,1,0.8746946618196358,1
488,Turkey,2017,1,0.8947552261110278,1
489,Turkey,2018,1,0.8692879832750676,1
490,Turkey,2019,1,0.8527583402696051,1
491,Turkey,2020,1,0.8335851886158765,1
492,Iraq,2017,1,0.8923082106011739,1
493,Iraq,2018,1,0.883628471030457,1
494,Iraq,2019,1,0.9040205089696725,1
495,Iraq,2020,1,0.9058025259025055,1
496,Egypt,2017,1,0.8112604768054963,1
497,Egypt,2018,1,0.8048224966135478,1
498,Egypt,2019,1,0.7901976369669763,1
499,Egypt,2020,1,0.7747579579964832,1
500,Syria,2017,1,0.8113553423994967,1
501,Syria,2018,1,0.8020530847782651,1
502,Syria,2019,1,0.7708663529464883,1
503,Syria,2020,1,0.7762627183591245,1
504,Lebanon,2017,1,0.9118194618656591,1
505,Lebanon,2018,1,0.9126429591708285,1
506,Lebanon,2019,1,0.8951972902227863,1
507,Lebanon,2020,1,0.8644033144805314,1
508,Jordan,2017,1,0.6965796656549046,1
509,Jordan,2018,1,0.6885197944636751,1
510,Jordan,2019,1,0.6617337379589298,1
511,Jordan,2020,0,0.6695408155887537,1
512,Israel,2017,1,0.9426370540791956,1
513,Israel,2018,1,0.9308556773928902,1
514,Israel,2019,1,0.9207434734166607,1
515,Israel,2020,1,0.9056867343855293,1
516,Saudi Arabia,2017,1,0.8024500929897777,1
517,Saudi Arabia,2018,1,0.7811422057322709,1
518,Saudi Arabia,2019,1,0.7849520243127668,1
519,Saudi Arabia,2020,0,0.7924963888938941,1
520,Yemen (North Yemen),2017,1,0.8570823062926688,1
521,Yemen (North Yemen),2018,1,0.8162797299801264,1
522,Yemen (North Yemen),2019,1,0.8575047175881088,1
523,Yemen (North Yemen),2020,1,0.8574744899907429,1
524,Kuwait,2017,0,0.5067946227999264,1
525,Kuwait,2018,0,0.39074061839882746,0
526,Kuwait,2019,0,0.40768780406412447,0
527,Kuwait,2020,0,0.3515075885269594,0
528,Bahrain,2017,1,0.7499202715776634,1
529,Bahrain,2018,0,0.6744461673439026,1
530,Bahrain,2019,0,0.6691329715643317,1
531,Bahrain,2020,0,0.5495619456473673,1
532,Qatar,2017,0,0.09461647528961757,0
533,Qatar,2018,0,0.10460002826589263,0
534,Qatar,2019,0,0.09534694749951468,0
535,Qatar,2020,0,0.11803025550433537,0
536,United Arab Emirates,2017,0,0.14645906343704196,0
537,United Arab Emirates,2018,0,0.17862195150098678,0
538,United Arab Emirates,2019,0,0.1383870608901123,0
539,United Arab Emirates,2020,0,0.14061228286135827,0
540,Oman,2017,0,0.055255821396432786,0
541,Oman,2018,0,0.07051585505026431,0
542,Oman,2019,0,0.08481777200850443,0
543,Oman,2020,0,0.09355010512919125,0
544,Afghanistan,2017,1,0.9042938034819996,1
545,Afghanistan,2018,1,0.9066655528410321,1
546,Afghanistan,2019,1,0.9047393203996714,1
547,Afghanistan,2020,1,0.900732550034794,1
548,Turkmenistan,2017,0,0.09623819929585903,0
549,Turkmenistan,2018,0,0.11462582723960896,0
550,Turkmenistan,2019,0,0.13755225679524533,0
551,Turkmenistan,2020,0,0.14571472677279843,0
552,Tajikistan,2017,1,0.701892998740397,1
553,Tajikistan,2018,1,0.6642146891075147,1
554,Tajikistan,2019,1,0.6696504481867595,1
555,Tajikistan,2020,0,0.7123743175517405,1
556,Kyrgyzstan,2017,1,0.5505049907721712,1
557,Kyrgyzstan,2018,0,0.4913333160058507,0
558,Kyrgyzstan,2019,0,0.4882177669118346,0
559,Kyrgyzstan,2020,0,0.4532362334755714,0
560,Uzbekistan,2017,0,0.16763803754370832,0
561,Uzbekistan,2018,0,0.17872960822142486,0
562,Uzbekistan,2019,0,0.17937186592419901,0
563,Uzbekistan,2020,0,0.18987012276413306,0
564,Kazakhstan,2017,0,0.46782661919698376,0
565,Kazakhstan,2018,0,0.37191046310389475,0
566,Kazakhstan,2019,0,0.3477049069898329,0
567,Kazakhstan,2020,0,0.36479578302908766,0
568,China,2017,1,0.8666191723229097,1
569,China,2018,1,0.8631413555405383,1
570,China,2019,0,0.827996412030498,1
571,China,2020,0,0.6986616859873127,1
572,Mongolia,2017,0,0.07788625646838959,0
573,Mongolia,2018,0,0.09409571081863781,0
574,Mongolia,2019,0,0.10409643087634202,0
575,Mongolia,2020,0,0.13183240452118983,0
576,South Korea,2017,0,0.07817799609280687,0
577,South Korea,2018,0,0.08435514124587651,0
