,country,year,d_riot,preds_proba,preds
117,Brazil,2023,1,0.831306957081362,1
118,Bulgaria,2018,1,0.4835954801726837,0
119,Bulgaria,2019,1,0.6681696540621946,1
120,Bulgaria,2020,1,0.6797471864386557,1
121,Bulgaria,2021,1,0.6821291564355076,1
122,Bulgaria,2022,0,0.6791207937848374,1
123,Bulgaria,2023,0,0.402532528071868,0
124,Burkina Faso,2017,1,0.8813414111816869,1
125,Burkina Faso,2018,1,0.8018203532491979,1
126,Burkina Faso,2019,1,0.8088594091427739,1
127,Burkina Faso,2020,1,0.7862145703180397,1
128,Burkina Faso,2021,1,0.7693395737141742,1
129,Burkina Faso,2022,1,0.7900850066118681,1
130,Burkina Faso,2023,1,0.7647920017499863,1
131,Burundi,2017,1,0.7988551900486753,1
132,Burundi,2018,1,0.757425441072443,1
133,Burundi,2019,1,0.7587099767556378,1
134,Burundi,2020,1,0.7359700104703004,1
135,Burundi,2021,1,0.7426368028272047,1
136,Burundi,2022,1,0.6861410062101325,1
137,Burundi,2023,1,0.677026393533678,1
138,Cambodia (Kampuchea),2017,1,0.7511593629167663,1
139,Cambodia (Kampuchea),2018,1,0.7353576333772058,1
140,Cambodia (Kampuchea),2019,0,0.7299815798414895,1
141,Cambodia (Kampuchea),2020,0,0.4470554122010272,0
142,Cambodia (Kampuchea),2021,0,0.44279658848933967,0
143,Cambodia (Kampuchea),2022,0,0.43723789822983433,0
144,Cambodia (Kampuchea),2023,0,0.5142456445892188,1
145,Cameroon,2017,1,0.7851138046574573,1
146,Cameroon,2018,1,0.7569314451661535,1
147,Cameroon,2019,1,0.7799756924582548,1
148,Cameroon,2020,1,0.7787542170277536,1
149,Cameroon,2021,1,0.7779445504736052,1
150,Cameroon,2022,1,0.817044259063219,1
151,Cameroon,2023,1,0.8224383517943546,1
152,Canada,2021,1,0.4426138465039825,0
153,Canada,2022,1,0.5689092773865577,1
154,Canada,2023,1,0.5720335084143019,1
155,Cabo Verde,2020,0,0.4427960788236476,0
156,Cabo Verde,2021,0,0.42412838539951125,0
157,Cabo Verde,2022,0,0.426845741513434,0
158,Cabo Verde,2023,0,0.4333758703352789,0
159,Central African Republic,2017,1,0.8695710986463145,1
160,Central African Republic,2018,1,0.8326501623353415,1
161,Central African Republic,2019,1,0.845436645177621,1
162,Central African Republic,2020,1,0.8184713830501411,1
163,Central African Republic,2021,1,0.7859669549377197,1
164,Central African Republic,2022,1,0.8247350686426667,1
165,Central African Republic,2023,1,0.79869635158338,1
166,Chad,2017,0,0.16708698756162865,0
167,Chad,2018,0,0.18869509356282238,0
168,Chad,2019,1,0.20817804373814716,0
169,Chad,2020,1,0.5216956249680791,1
170,Chad,2021,1,0.5376748890860004,1
171,Chad,2022,1,0.5808544919560221,1
172,Chad,2023,1,0.581520514774612,1
173,Chile,2018,1,0.7022832784388537,1
174,Chile,2019,1,0.7978911319362089,1
175,Chile,2020,1,0.7943426040207955,1
176,Chile,2021,1,0.81712795029186,1
177,Chile,2022,1,0.807708009353717,1
