,country,year,d_ns,preds_proba,preds
116,Venezuela,2021,1,0.17208934523201141,0
117,Venezuela,2022,1,0.2495714772764262,0
118,Venezuela,2023,0,0.23433339121273927,0
119,Guyana,2017,0,0.021815389091359928,0
120,Guyana,2018,0,0.02198846902989763,0
121,Guyana,2019,0,0.033487266659950124,0
122,Guyana,2020,0,0.01942137740344744,0
123,Guyana,2021,0,0.023834125425162514,0
124,Guyana,2022,0,0.026038046364908637,0
125,Guyana,2023,0,0.036039091213393826,0
126,Suriname,2017,0,0.013094381225982485,0
127,Suriname,2018,0,0.013122495887607945,0
128,Suriname,2019,0,0.014645159100047524,0
129,Suriname,2020,0,0.017968958765814155,0
130,Suriname,2021,0,0.017239814085701972,0
131,Suriname,2022,0,0.02300384793141562,0
132,Suriname,2023,0,0.02579701342092925,0
133,Ecuador,2017,0,0.015721156753092793,0
134,Ecuador,2018,0,0.02259814826946154,0
135,Ecuador,2019,0,0.051707417413146856,0
136,Ecuador,2020,0,0.06047043235097961,0
137,Ecuador,2021,1,0.06460107902823364,0
138,Ecuador,2022,1,0.16303830553311885,0
139,Ecuador,2023,1,0.17010339871980945,0
140,Peru,2017,0,0.05942076583817622,0
141,Peru,2018,0,0.08337582344003774,0
142,Peru,2019,0,0.06783216569538539,0
143,Peru,2020,0,0.08363523603697838,0
144,Peru,2021,0,0.08154921523745691,0
145,Peru,2022,0,0.09826304560596716,0
146,Peru,2023,0,0.19437187929359823,0
147,Brazil,2017,1,0.7192986605404068,1
148,Brazil,2018,1,0.67730678054503,1
149,Brazil,2019,1,0.550558881410689,1
150,Brazil,2020,1,0.5521558243629339,1
151,Brazil,2021,1,0.5450541798105155,1
152,Brazil,2022,1,0.5139885507906319,1
153,Brazil,2023,1,0.5476960614759677,1
154,Bolivia,2017,0,0.02042399885810887,0
155,Bolivia,2018,0,0.03692135261114863,0
156,Bolivia,2019,0,0.04387738645125292,0
157,Bolivia,2020,0,0.04195900176293888,0
158,Bolivia,2021,1,0.027976908784298173,0
159,Bolivia,2022,0,0.12581327034373985,0
160,Bolivia,2023,1,0.17412632753959753,0
161,Paraguay,2017,0,0.2697804570961615,0
162,Paraguay,2018,0,0.1688459031199933,0
163,Paraguay,2019,0,0.14547383185700202,0
164,Paraguay,2020,0,0.1441735818250024,0
165,Paraguay,2021,0,0.12121074843303765,0
166,Paraguay,2022,0,0.11839079714723413,0
167,Paraguay,2023,0,0.13043265282707442,0
168,Chile,2017,0,0.00892914063304427,0
169,Chile,2018,0,0.012426646412526384,0
170,Chile,2019,0,0.0317113624143725,0
171,Chile,2020,0,0.029433652601268036,0
172,Chile,2021,0,0.021494930778362686,0
173,Chile,2022,0,0.054816032291662764,0
174,Chile,2023,0,0.10435807443095639,0
175,Argentina,2017,0,0.03649530037582993,0
176,Argentina,2018,0,0.04314669799355643,0
177,Argentina,2019,0,0.03800945673078899,0
178,Argentina,2020,0,0.042345433780253676,0
179,Argentina,2021,0,0.04597828291080678,0
180,Argentina,2022,0,0.0807004141193881,0
181,Argentina,2023,0,0.22637892337209906,0
182,Uruguay,2017,0,0.0261381920767579,0
183,Uruguay,2018,0,0.02670147683653257,0
184,Uruguay,2019,0,0.026312969350271005,0
185,Uruguay,2020,0,0.0261381920767579,0
186,Uruguay,2021,0,0.03255245315524986,0
187,Uruguay,2022,0,0.03043325133426146,0
188,Uruguay,2023,0,0.0480222726642173,0
189,United Kingdom,2017,0,0.0020955525995984916,0
190,United Kingdom,2018,0,0.008496511839832192,0
191,United Kingdom,2019,0,0.0035872578418681823,0
192,United Kingdom,2020,0,0.01055689438392799,0
193,United Kingdom,2021,0,0.012800039711694834,0
194,United Kingdom,2022,0,0.011965106283364663,0
195,United Kingdom,2023,0,0.018536761814069137,0
196,Ireland,2017,0,0.009139063450325781,0
197,Ireland,2018,0,0.011965077518976137,0
198,Ireland,2019,0,0.010616795694732185,0
199,Ireland,2020,0,0.014392716193803112,0
200,Ireland,2021,0,0.009332995606845123,0
201,Ireland,2022,0,0.01519830581003913,0
202,Ireland,2023,0,0.017601654118411053,0
203,Netherlands,2017,0,0.001282582801239558,0
204,Netherlands,2018,0,0.006613312178348056,0
205,Netherlands,2019,0,0.006290222187218873,0
206,Netherlands,2020,0,0.007457736949710276,0
207,Netherlands,2021,0,0.0058038439347817316,0
208,Netherlands,2022,0,0.0058038439347817316,0
209,Netherlands,2023,0,0.009639972146830189,0
210,Belgium,2017,0,0.0005632847597746693,0
211,Belgium,2018,0,0.0011701786790866162,0
212,Belgium,2019,0,0.0011154125579619803,0
213,Belgium,2020,0,0.0004903757369698769,0
214,Belgium,2021,0,0.0004903757369698769,0
215,Belgium,2022,0,0.0010536604967445462,0
216,Belgium,2023,0,0.001286696861428686,0
217,Luxembourg,2017,0,0.0014429565568918443,0
218,Luxembourg,2018,0,0.015089394988234622,0
219,Luxembourg,2019,0,0.0015687936183974166,0
220,Luxembourg,2020,0,0.01616418684221939,0
221,Luxembourg,2021,0,0.00645794854387662,0
222,Luxembourg,2022,0,0.0035013751679481087,0
223,Luxembourg,2023,0,0.006436914742129155,0
224,France,2017,0,0.002635639756373145,0
225,France,2018,0,0.005799663255447684,0
226,France,2019,0,0.0015792082364717115,0
227,France,2020,0,0.0015792082364717115,0
228,France,2021,0,0.0015792082364717115,0
229,France,2022,0,0.0015792082364717115,0
