,country,year,d_sb,preds_proba,preds
133,Ecuador,2017,0,0.04577994177690167,0
134,Ecuador,2018,0,0.05252502265711553,0
135,Ecuador,2019,1,0.05995658082557532,0
136,Ecuador,2020,0,0.2895030916930141,0
137,Ecuador,2021,0,0.16661279532686052,0
138,Ecuador,2022,0,0.1745175080842481,0
139,Ecuador,2023,0,0.17688681235205517,0
140,Peru,2017,1,0.7742036098015475,1
141,Peru,2018,0,0.7294707775080462,1
142,Peru,2019,0,0.5697073350291958,1
143,Peru,2020,1,0.5674079257431085,1
144,Peru,2021,1,0.6947187224533612,1
145,Peru,2022,1,0.6568039321559433,1
146,Peru,2023,1,0.614498123557792,1
147,Brazil,2017,0,0.03725527367721265,0
148,Brazil,2018,0,0.0507639294057045,0
149,Brazil,2019,0,0.1176507241276128,0
150,Brazil,2020,0,0.10658276119660065,0
151,Brazil,2021,0,0.1115947811368386,0
152,Brazil,2022,0,0.1108611047960294,0
153,Brazil,2023,0,0.06548849680489462,0
154,Bolivia,2017,0,0.03707119894829485,0
155,Bolivia,2018,0,0.02920256519649684,0
156,Bolivia,2019,0,0.0357584359112567,0
157,Bolivia,2020,0,0.05382990494440315,0
158,Bolivia,2021,0,0.03133260557225375,0
159,Bolivia,2022,0,0.04694211823157236,0
160,Bolivia,2023,0,0.06587334116385282,0
161,Paraguay,2017,0,0.011848632652324512,0
162,Paraguay,2018,0,0.011992011995337799,0
163,Paraguay,2019,0,0.01409522959508449,0
164,Paraguay,2020,0,0.021490799366928357,0
165,Paraguay,2021,0,0.019608908393348973,0
166,Paraguay,2022,0,0.08836550861760648,0
167,Paraguay,2023,0,0.10408962636090593,0
168,Chile,2017,0,0.021548328809411987,0
169,Chile,2018,0,0.020815439244380438,0
170,Chile,2019,0,0.06812867834104844,0
171,Chile,2020,0,0.07378640888335858,0
172,Chile,2021,0,0.07527847048672413,0
173,Chile,2022,0,0.0794987052223623,0
174,Chile,2023,0,0.11245518600539534,0
175,Argentina,2017,0,0.01198590795435631,0
176,Argentina,2018,0,0.007562663856304468,0
177,Argentina,2019,0,0.012607979332868639,0
178,Argentina,2020,0,0.011670444675813886,0
179,Argentina,2021,0,0.03577349376752717,0
180,Argentina,2022,0,0.03429652821200119,0
181,Argentina,2023,0,0.05239743987970641,0
182,Uruguay,2017,0,0.005856691438813867,0
183,Uruguay,2018,0,0.010067522974427347,0
184,Uruguay,2019,0,0.011947646034039831,0
185,Uruguay,2020,0,0.00984038139885381,0
186,Uruguay,2021,0,0.021569647090439695,0
187,Uruguay,2022,0,0.03704982646277902,0
188,Uruguay,2023,0,0.03874683673908157,0
189,United Kingdom,2017,0,0.08058785738891971,0
190,United Kingdom,2018,0,0.12295854118491104,0
191,United Kingdom,2019,1,0.11450898532965455,0
192,United Kingdom,2020,0,0.11594517990187894,0
193,United Kingdom,2021,0,0.1545755559147399,0
194,United Kingdom,2022,0,0.14556219661129596,0
195,United Kingdom,2023,0,0.14012753070574616,0
196,Ireland,2017,0,0.017302605610486205,0
197,Ireland,2018,0,0.018117378178828893,0
198,Ireland,2019,0,0.018490393545425206,0
199,Ireland,2020,0,0.022181581555429146,0
200,Ireland,2021,0,0.022667190123528583,0
201,Ireland,2022,0,0.05593095171317145,0
202,Ireland,2023,0,0.05745821433932789,0
203,Netherlands,2017,0,0.025886780816131737,0
204,Netherlands,2018,0,0.04636032870624738,0
205,Netherlands,2019,0,0.033028979529295656,0
206,Netherlands,2020,0,0.02754931407616771,0
