,country,year,d_osv,preds_proba,preds
133,Ecuador,2017,0,0.034313541057976196,0
134,Ecuador,2018,0,0.03695019943466711,0
135,Ecuador,2019,0,0.038658139485688095,0
136,Ecuador,2020,0,0.04338151536453353,0
137,Ecuador,2021,0,0.05350740927427968,0
138,Ecuador,2022,1,0.08113402332198758,0
139,Ecuador,2023,0,0.16245294582252592,0
140,Peru,2017,0,0.4739274673650693,0
141,Peru,2018,0,0.3213347931162395,0
142,Peru,2019,1,0.31756810988731454,0
143,Peru,2020,1,0.40305183166081465,0
144,Peru,2021,0,0.381455799322263,0
145,Peru,2022,1,0.308127234910384,0
146,Peru,2023,0,0.44715090507730726,0
147,Brazil,2017,1,0.5804355697040331,1
148,Brazil,2018,1,0.5687918941760417,1
149,Brazil,2019,1,0.6123916002353931,1
150,Brazil,2020,1,0.5280778995877302,1
151,Brazil,2021,1,0.56965267492265,1
152,Brazil,2022,1,0.5686928453305162,1
153,Brazil,2023,1,0.6143108998655853,1
154,Bolivia,2017,0,0.03883392181628081,0
155,Bolivia,2018,0,0.03816778339379236,0
156,Bolivia,2019,0,0.07067701254581728,0
157,Bolivia,2020,0,0.0483141828342685,0
158,Bolivia,2021,0,0.033129372541019976,0
159,Bolivia,2022,0,0.05411362721716395,0
160,Bolivia,2023,0,0.06485835365700343,0
161,Paraguay,2017,0,0.03681496210413956,0
162,Paraguay,2018,1,0.03971279553020029,0
163,Paraguay,2019,0,0.16424813036816494,0
164,Paraguay,2020,1,0.13478279641825144,0
165,Paraguay,2021,1,0.16749965945191558,0
166,Paraguay,2022,0,0.18868619640397014,0
167,Paraguay,2023,0,0.12016830178424934,0
168,Chile,2017,0,0.06273827751794357,0
169,Chile,2018,0,0.05166716254056094,0
170,Chile,2019,0,0.2801602875848263,0
171,Chile,2020,0,0.30085382497527613,0
172,Chile,2021,0,0.22646137217943368,0
173,Chile,2022,0,0.19603305889801884,0
174,Chile,2023,0,0.20395737244972192,0
175,Argentina,2017,0,0.04797461559416709,0
176,Argentina,2018,0,0.02733498293151696,0
177,Argentina,2019,0,0.07397717130641553,0
178,Argentina,2020,0,0.03978498756394312,0
179,Argentina,2021,0,0.028450345306358652,0
180,Argentina,2022,0,0.1381880055346237,0
181,Argentina,2023,0,0.08143383209023206,0
182,Uruguay,2017,0,0.031226287026440036,0
183,Uruguay,2018,0,0.027422456774387635,0
184,Uruguay,2019,0,0.019725823114041953,0
185,Uruguay,2020,0,0.01736914947837874,0
186,Uruguay,2021,0,0.01736914947837874,0
187,Uruguay,2022,0,0.01748739665547916,0
188,Uruguay,2023,0,0.01736914947837874,0
189,United Kingdom,2017,0,0.05289900509547442,0
190,United Kingdom,2018,0,0.07227600177120638,0
191,United Kingdom,2019,1,0.06925287473956371,0
192,United Kingdom,2020,0,0.21655435425236694,0
193,United Kingdom,2021,0,0.12829349919565486,0
194,United Kingdom,2022,0,0.13705514812781838,0
195,United Kingdom,2023,0,0.12410448717015912,0
196,Ireland,2017,0,0.0014936240969525207,0
197,Ireland,2018,0,0.013976634026576866,0
198,Ireland,2019,0,0.02754813364422576,0
199,Ireland,2020,0,0.02912402696924261,0
200,Ireland,2021,0,0.027231518991889823,0
201,Ireland,2022,0,0.027235180196518917,0
202,Ireland,2023,0,0.02711446444700258,0
203,Netherlands,2017,0,0.06696053779973202,0
204,Netherlands,2018,0,0.058745229692269696,0
205,Netherlands,2019,0,0.0492863009462938,0
206,Netherlands,2020,0,0.03500918759373223,0
207,Netherlands,2021,0,0.035950404702653024,0
208,Netherlands,2022,0,0.0546405027918926,0
209,Netherlands,2023,0,0.0551553977003828,0
210,Belgium,2017,0,0.407840379670487,0
211,Belgium,2018,1,0.2649860986226055,0
212,Belgium,2019,0,0.3721238499137804,0
213,Belgium,2020,0,0.24939642388777405,0
214,Belgium,2021,0,0.2478038427022158,0
215,Belgium,2022,0,0.25242860659257804,0
216,Belgium,2023,1,0.2227193970583586,0
217,Luxembourg,2017,0,0.0023057894015268347,0
218,Luxembourg,2018,0,0.000887386040239151,0
219,Luxembourg,2019,0,0.004002242712276062,0
220,Luxembourg,2020,0,0.03778612497926525,0
221,Luxembourg,2021,0,0.03001481222213532,0
