,country,year,d_civil_war,preds_proba,preds
119,Guyana,2017,0,0.005636066538966663,0
120,Guyana,2018,0,0.005652211901149991,0
121,Guyana,2019,0,0.017137666705604192,0
122,Guyana,2020,0,0.011272133077933327,0
123,Guyana,2021,0,0.011272133077933327,0
124,Guyana,2022,0,0.019653537368739444,0
125,Guyana,2023,0,0.06615243179875208,0
126,Suriname,2017,0,0.0,0
127,Suriname,2018,0,0.0,0
128,Suriname,2019,0,0.0,0
129,Suriname,2020,0,0.0,0
130,Suriname,2021,0,1.1137004934622212e-05,0
131,Suriname,2022,0,0.008381404290806117,0
132,Suriname,2023,0,0.053091005812749614,0
133,Ecuador,2017,0,0.0,0
134,Ecuador,2018,0,0.0,0
135,Ecuador,2019,0,0.0,0
136,Ecuador,2020,0,0.005636066538966663,0
137,Ecuador,2021,0,0.005636066538966663,0
138,Ecuador,2022,0,0.015994213471068212,0
139,Ecuador,2023,0,0.04758912618770149,0
140,Peru,2017,0,0.00025561327258130575,0
141,Peru,2018,0,0.005891679811547969,0
142,Peru,2019,0,0.0079791882042953,0
143,Peru,2020,0,0.007680972719617109,0
144,Peru,2021,0,0.008396689882844765,0
145,Peru,2022,0,0.024226755863328647,0
146,Peru,2023,0,0.11809590891951877,0
147,Brazil,2017,0,0.0,0
148,Brazil,2018,0,0.034041878515271254,0
149,Brazil,2019,0,0.032220405456489305,0
150,Brazil,2020,0,0.0321604460694266,0
151,Brazil,2021,0,0.03227227687618092,0
152,Brazil,2022,0,0.045499547904644604,0
153,Brazil,2023,0,0.08840227549897385,0
154,Bolivia,2017,0,0.004294302979365937,0
155,Bolivia,2018,0,0.007425359447035804,0
156,Bolivia,2019,0,0.013061425986002467,0
157,Bolivia,2020,0,0.007425359447035804,0
158,Bolivia,2021,0,0.009896287748655093,0
159,Bolivia,2022,0,0.024880208255030088,0
160,Bolivia,2023,0,0.07894012640600227,0
161,Paraguay,2017,0,0.0013738361046893557,0
162,Paraguay,2018,0,0.000990416195817397,0
163,Paraguay,2019,0,0.00047918965065478557,0
164,Paraguay,2020,0,0.00047918965065478557,0
165,Paraguay,2021,0,0.00047918965065478557,0
166,Paraguay,2022,0,0.015449606981499926,0
167,Paraguay,2023,0,0.06367778875627275,0
168,Chile,2017,0,0.009301817109483242,0
169,Chile,2018,0,0.004413128035930608,0
170,Chile,2019,0,0.012638905154970681,0
171,Chile,2020,0,0.012638905154970681,0
172,Chile,2021,0,0.012638905154970681,0
173,Chile,2022,0,0.030779819358145118,0
174,Chile,2023,0,0.06625992472040182,0
175,Argentina,2017,0,0.0028315467605638652,0
176,Argentina,2018,0,0.0028315467605638652,0
177,Argentina,2019,0,0.0018555688107079705,0
178,Argentina,2020,0,0.0018555688107079705,0
179,Argentina,2021,0,0.0018555688107079705,0
180,Argentina,2022,0,0.03607831308097236,0
181,Argentina,2023,0,0.08528484621555242,0
182,Uruguay,2017,0,0.00029821548467819006,0
183,Uruguay,2018,0,0.00029821548467819006,0
184,Uruguay,2019,0,0.002087508392747331,0
185,Uruguay,2020,0,0.005964309693563801,0
186,Uruguay,2021,0,0.005964309693563801,0
187,Uruguay,2022,0,0.02773132902521096,0
188,Uruguay,2023,0,0.06468689099975644,0
189,United Kingdom,2017,0,0.00047918965065478557,0
190,United Kingdom,2018,0,0.0007774051353329756,0
191,United Kingdom,2019,0,0.00047918965065478557,0
192,United Kingdom,2020,0,0.00047918965065478557,0
193,United Kingdom,2021,0,0.00047918965065478557,0
194,United Kingdom,2022,0,0.01649762139908328,0
195,United Kingdom,2023,0,0.0343327171702587,0
196,Ireland,2017,0,4.3849335929720517e-05,0
197,Ireland,2018,0,0.0,0
198,Ireland,2019,0,0.0,0
199,Ireland,2020,0,7.994584941694043e-05,0
200,Ireland,2021,0,7.994584941694043e-05,0
201,Ireland,2022,0,0.01833228268307115,0
202,Ireland,2023,0,0.03230072379103716,0
203,Netherlands,2017,0,0.00047918965065478557,0
204,Netherlands,2018,0,0.006115256189621449,0
205,Netherlands,2019,0,0.006115256189621449,0
206,Netherlands,2020,0,0.007904549097690589,0
207,Netherlands,2021,0,0.006115256189621449,0
208,Netherlands,2022,0,0.024014650081519165,0
209,Netherlands,2023,0,0.03375028081681682,0
210,Belgium,2017,0,0.002002303968553562,0
211,Belgium,2018,0,0.004355211236809844,0
212,Belgium,2019,0,0.006172854411387405,0
213,Belgium,2020,0,0.006172854411387405,0
214,Belgium,2021,0,0.006652529507889048,0
215,Belgium,2022,0,0.026135504227765703,0
216,Belgium,2023,0,0.030993705578159485,0
217,Luxembourg,2017,0,0.00047137730341074877,0
218,Luxembourg,2018,0,0.0013721539685555935,0
219,Luxembourg,2019,0,0.0013721539685555935,0
220,Luxembourg,2020,0,0.0017127128725484206,0
221,Luxembourg,2021,0,0.0019692447383501885,0
222,Luxembourg,2022,0,0.011516071119986305,0
223,Luxembourg,2023,0,0.022113984757889674,0
224,France,2017,0,0.00047918965065478557,0
225,France,2018,0,0.00047918965065478557,0
226,France,2019,0,0.00047918965065478557,0
227,France,2020,0,0.00047918965065478557,0
228,France,2021,0,0.00047918965065478557,0
229,France,2022,0,0.007502566503541761,0
230,France,2023,0,0.02485238434964995,0
231,Switzerland,2017,0,0.00047918965065478557,0
232,Switzerland,2018,0,0.00047918965065478557,0
233,Switzerland,2019,0,0.00047918965065478557,0
234,Switzerland,2020,0,0.00047918965065478557,0
235,Switzerland,2021,0,0.00047918965065478557,0
236,Switzerland,2022,0,0.016128531325189363,0
237,Switzerland,2023,0,0.017943514658129052,0
238,Spain,2017,0,0.00047918965065478557,0
239,Spain,2018,0,0.00047918965065478557,0
240,Spain,2019,0,0.00047918965065478557,0
241,Spain,2020,0,0.00047918965065478557,0
242,Spain,2021,0,0.00047918965065478557,0
243,Spain,2022,0,0.008966533428325603,0
244,Spain,2023,0,0.02890314468319536,0
245,Portugal,2017,0,0.00047918965065478557,0
246,Portugal,2018,0,0.00047918965065478557,0
247,Portugal,2019,0,0.00047918965065478557,0
248,Portugal,2020,0,0.00047918965065478557,0
249,Portugal,2021,0,0.000559135500071726,0
250,Portugal,2022,0,0.012359655628351666,0
251,Portugal,2023,0,0.021145492617379327,0
252,Germany,2017,0,0.0017892929080691403,0
253,Germany,2018,0,0.0,0
254,Germany,2019,0,9.540441290148398e-06,0
255,Germany,2020,0,0.0008879205961604537,0
256,Germany,2021,0,0.002458130823964366,0
257,Germany,2022,0,0.007462185454549099,0
258,Germany,2023,0,0.0312849091953472,0
259,Poland,2017,0,0.0014314343264553123,0
260,Poland,2018,0,0.0,0
261,Poland,2019,0,0.0,0
262,Poland,2020,0,0.0,0
263,Poland,2021,0,0.0,0
264,Poland,2022,0,0.009073834230871259,0
265,Poland,2023,0,0.02416888481814559,0
266,Austria,2017,0,0.002821577278109029,0
267,Austria,2018,0,0.002821577278109029,0
268,Austria,2019,0,0.002821577278109029,0
269,Austria,2020,0,0.002821577278109029,0
270,Austria,2021,0,0.0010322843700398886,0
271,Austria,2022,0,0.0182675902130903,0
272,Austria,2023,0,0.018178165290029122,0
273,Hungary,2017,0,0.0,0
274,Hungary,2018,0,0.0,0
275,Hungary,2019,0,0.0,0
276,Hungary,2020,0,0.0030905968412103333,0
277,Hungary,2021,0,0.0,0
278,Hungary,2022,0,0.0074707000799042605,0
279,Hungary,2023,0,0.01748079984893551,0
280,Czechia,2017,0,0.0,0
281,Czechia,2018,0,0.0,0
282,Czechia,2019,0,0.0,0
283,Czechia,2020,0,0.0,0
284,Czechia,2021,0,0.0,0
285,Czechia,2022,0,0.01634510580870497,0
286,Czechia,2023,0,0.022608986511877316,0
287,Slovakia,2017,0,0.0007229466295228849,0
288,Slovakia,2018,0,0.0007229466295228849,0
289,Slovakia,2019,0,0.0007229466295228849,0
290,Slovakia,2020,0,0.0029595627646093105,0
291,Slovakia,2021,0,0.0003976206462375867,0
292,Slovakia,2022,0,0.007005715959778071,0
293,Slovakia,2023,0,0.01354445292772071,0
294,Italy,2017,0,0.0006581189414616996,0
295,Italy,2018,0,0.0006581189414616996,0
296,Italy,2019,0,0.0006581189414616996,0
297,Italy,2020,0,0.0006581189414616996,0
298,Italy,2021,0,0.0006581189414616996,0
299,Italy,2022,0,0.012931056556777933,0
300,Italy,2023,0,0.028475702488489955,0
301,Malta,2017,0,0.00644647288353747,0
302,Malta,2018,0,0.0016545150007080882,0
303,Malta,2019,0,0.000580939255866604,0
304,Malta,2020,0,0.0019297908327187252,0
305,Malta,2021,0,0.0026769680910333116,0
306,Malta,2022,0,0.037506322180863715,0
307,Malta,2023,0,0.06957551018590916,0
308,Albania,2017,0,0.00019881032311879336,0
309,Albania,2018,0,0.0018091739403810197,0
310,Albania,2019,0,0.00019881032311879336,0
311,Albania,2020,0,0.0053877597565193,0
312,Albania,2021,0,0.0035984668484501598,0
313,Albania,2022,0,0.016043390445941223,0
314,Albania,2023,0,0.023743238787881753,0
315,Serbia,2017,0,0.0007774903707681383,0
316,Serbia,2018,0,0.0007774903707681383,0
317,Serbia,2019,0,0.002566783278837279,0
318,Serbia,2020,0,0.0009905014312525599,0
319,Serbia,2021,0,0.0009905014312525599,0
320,Serbia,2022,0,0.005765966107966814,0
321,Serbia,2023,0,0.03161182450385962,0
322,Montenegro,2017,0,0.006907705392163314,0
323,Montenegro,2018,0,0.012437266400887768,0
324,Montenegro,2019,0,0.012437266400887768,0
325,Montenegro,2020,0,0.014482172581538215,0
326,Montenegro,2021,0,0.012543771931129977,0
327,Montenegro,2022,0,0.006801199861921105,0
328,Montenegro,2023,0,0.03647605371969462,0
329,North Macedonia,2017,0,0.0017892929080691403,0
330,North Macedonia,2018,0,0.009346860785250207,0
331,North Macedonia,2019,0,0.0017892929080691403,0
332,North Macedonia,2020,0,0.0017892929080691403,0
333,North Macedonia,2021,0,0.0017892929080691403,0
334,North Macedonia,2022,0,0.020464762062291215,0
335,North Macedonia,2023,0,0.0342225406932602,0
336,Croatia,2017,0,0.0004129137480159555,0
337,Croatia,2018,0,0.0004129137480159555,0
338,Croatia,2019,0,0.0004129137480159555,0
339,Croatia,2020,0,0.0017892929080691403,0
340,Croatia,2021,0,0.0004129137480159555,0
341,Croatia,2022,0,0.005005432212060082,0
342,Croatia,2023,0,0.01711285675767497,0
343,Bosnia-Herzegovina,2017,0,0.059759589068250914,0
344,Bosnia-Herzegovina,2018,0,0.08478622591892096,0
345,Bosnia-Herzegovina,2019,0,0.08182455079347309,0
346,Bosnia-Herzegovina,2020,0,0.08182455079347309,0
347,Bosnia-Herzegovina,2021,0,0.07618848425450643,0
348,Bosnia-Herzegovina,2022,0,0.12003886858060332,0
349,Bosnia-Herzegovina,2023,0,0.06278023908474467,0
350,Slovenia,2017,0,0.0,0
351,Slovenia,2018,0,0.0,0
352,Slovenia,2019,0,7.994584941694043e-05,0
353,Slovenia,2020,0,7.994584941694043e-05,0
354,Slovenia,2021,0,7.994584941694043e-05,0
355,Slovenia,2022,0,0.004465262645535311,0
356,Slovenia,2023,0,0.020755057575259715,0
357,Greece,2017,0,0.00029884296574569604,0
358,Greece,2018,0,0.0,0
359,Greece,2019,0,0.0017892929080691403,0
360,Greece,2020,0,0.0029821548467819,0
361,Greece,2021,0,0.0030164173536748745,0
362,Greece,2022,0,0.019408795232341198,0
363,Greece,2023,0,0.026587732721512804,0
364,Cyprus,2017,0,0.0,0
365,Cyprus,2018,0,0.0,0
366,Cyprus,2019,0,1.3992647225550985e-05,0
367,Cyprus,2020,0,0.00023756855992691352,0
368,Cyprus,2021,0,0.00011737280703238801,0
369,Cyprus,2022,0,0.01531183513937146,0
370,Cyprus,2023,0,0.04484960719393159,0
371,Bulgaria,2017,0,0.0005973104541471634,0
372,Bulgaria,2018,0,0.0005591540337716064,0
373,Bulgaria,2019,0,0.0005591540337716064,0
374,Bulgaria,2020,0,0.0005591540337716064,0
375,Bulgaria,2021,0,0.0061952205727382696,0
376,Bulgaria,2022,0,0.01619899958585452,0
377,Bulgaria,2023,0,0.025127842302105605,0
378,Moldova,2017,0,0.005926536166899966,0
379,Moldova,2018,0,0.011920461287480456,0
380,Moldova,2019,0,0.011920461287480456,0
381,Moldova,2020,0,0.017556527826447118,0
382,Moldova,2021,0,0.011920461287480456,0
383,Moldova,2022,0,0.027662987177857628,0
384,Moldova,2023,0,0.056658700197363056,0
385,Romania,2017,0,0.0,0
386,Romania,2018,0,0.0,0
387,Romania,2019,0,0.0,0
388,Romania,2020,0,0.0,0
389,Romania,2021,0,0.0,0
390,Romania,2022,0,0.00526674564075878,0
391,Romania,2023,0,0.018836970267352992,0
392,Russia (Soviet Union),2017,0,0.029598067491020157,0
393,Russia (Soviet Union),2018,0,0.026158699648699282,0
394,Russia (Soviet Union),2019,0,0.02607018061341525,0
395,Russia (Soviet Union),2020,0,0.026453920690616566,0
396,Russia (Soviet Union),2021,0,0.059458693969599026,0
397,Russia (Soviet Union),2022,0,0.14342471181439914,0
398,Russia (Soviet Union),2023,0,0.1649841511929241,0
399,Estonia,2017,0,0.0,0
400,Estonia,2018,0,0.0,0
401,Estonia,2019,0,0.002683939362103711,0
402,Estonia,2020,0,0.0065307129930012335,0
403,Estonia,2021,0,0.0008946464540345702,0
404,Estonia,2022,0,0.016118740593274797,0
405,Estonia,2023,0,0.02181934358701744,0
406,Latvia,2017,0,0.0,0
407,Latvia,2018,0,0.0,0
408,Latvia,2019,0,0.0004473232270172851,0
409,Latvia,2020,0,0.006083389765983948,0
410,Latvia,2021,0,0.006083389765983948,0
411,Latvia,2022,0,0.014878755481583695,0
412,Latvia,2023,0,0.01945110989162719,0
413,Lithuania,2017,0,0.0016033923461918269,0
414,Lithuania,2018,0,0.0016033923461918269,0
415,Lithuania,2019,0,0.0016033923461918269,0
416,Lithuania,2020,0,0.0016033923461918269,0
417,Lithuania,2021,0,0.0016033923461918269,0
