,country,year,d_protest,preds_proba,preds
117,Brazil,2023,1,0.7128314634172397,1
118,Bulgaria,2018,1,0.682348547811696,1
119,Bulgaria,2019,1,0.6798214276682705,1
120,Bulgaria,2020,1,0.6811443113279665,1
121,Bulgaria,2021,1,0.6769363844133783,1
122,Bulgaria,2022,1,0.6866311533272229,1
123,Bulgaria,2023,1,0.6433430755328302,1
124,Burkina Faso,2017,1,0.7300502662106702,1
125,Burkina Faso,2018,1,0.6662080310487704,1
126,Burkina Faso,2019,1,0.6263947524089877,1
127,Burkina Faso,2020,1,0.5923378039888931,1
128,Burkina Faso,2021,1,0.5841681813211452,1
129,Burkina Faso,2022,1,0.5553579076198091,1
130,Burkina Faso,2023,1,0.5216073850681334,1
131,Burundi,2017,1,0.6858741848433939,1
132,Burundi,2018,1,0.5783832354792559,1
133,Burundi,2019,1,0.5401031879042847,1
134,Burundi,2020,0,0.5433631102765469,1
135,Burundi,2021,0,0.5358910403369512,1
136,Burundi,2022,1,0.46963413068424975,0
137,Burundi,2023,0,0.45308206074549895,0
138,Cambodia (Kampuchea),2017,1,0.8169141596360322,1
139,Cambodia (Kampuchea),2018,1,0.79341100326463,1
140,Cambodia (Kampuchea),2019,1,0.7826963395359507,1
141,Cambodia (Kampuchea),2020,1,0.7366796704039036,1
142,Cambodia (Kampuchea),2021,1,0.7321675606491427,1
143,Cambodia (Kampuchea),2022,1,0.7145317523952802,1
144,Cambodia (Kampuchea),2023,1,0.7012893671731687,1
145,Cameroon,2017,1,0.15124343641351182,0
146,Cameroon,2018,1,0.23945500135858408,0
147,Cameroon,2019,1,0.2716416116378596,0
148,Cameroon,2020,1,0.3050714512630073,0
149,Cameroon,2021,1,0.28443199181375395,0
150,Cameroon,2022,1,0.2861370752677917,0
151,Cameroon,2023,1,0.30270586588895115,0
152,Canada,2021,1,0.6298306164470286,1
153,Canada,2022,1,0.641567154614501,1
154,Canada,2023,1,0.6193346352488311,1
155,Cabo Verde,2020,1,0.5451262362927528,1
156,Cabo Verde,2021,1,0.536198560031754,1
157,Cabo Verde,2022,1,0.507549921130297,1
158,Cabo Verde,2023,1,0.48680482472953035,0
159,Central African Republic,2017,1,0.6458827204029213,1
160,Central African Republic,2018,0,0.5455286379877266,1
161,Central African Republic,2019,1,0.5508019942765702,1
162,Central African Republic,2020,1,0.5210118186014356,1
163,Central African Republic,2021,1,0.5094298263736883,1
164,Central African Republic,2022,1,0.5294280818804991,1
165,Central African Republic,2023,0,0.47547689176024277,0
166,Chad,2017,0,0.04779965126549761,0
167,Chad,2018,0,0.08816703196196643,0
168,Chad,2019,1,0.11366645778559215,0
169,Chad,2020,0,0.10491912058069146,0
170,Chad,2021,1,0.14488973014284895,0
171,Chad,2022,1,0.18163352006463407,0
172,Chad,2023,1,0.18671737496234178,0
173,Chile,2018,1,0.6539032400256171,1
174,Chile,2019,1,0.6876234844439932,1
175,Chile,2020,1,0.6737205148164145,1
176,Chile,2021,1,0.6632657389365569,1
177,Chile,2022,1,0.6434251323099813,1
178,Chile,2023,1,0.6378093846528826,1
179,China,2018,1,0.766488807844521,1
180,China,2019,1,0.7566069810297849,1
181,China,2020,1,0.7518277868039702,1
182,China,2021,1,0.7448939695333213,1
183,China,2022,1,0.7228580623423468,1
184,China,2023,1,0.7118633625991134,1
185,Colombia,2018,1,0.7341787160449966,1
