,country,year,d_riot,preds,preds_proba
133,Burundi,2019,1,1,0.978155586159417
134,Burundi,2020,1,1,0.8806640514199209
135,Burundi,2021,1,1,0.9588541384676363
136,Burundi,2022,1,1,0.9019426154873355
137,Burundi,2023,1,1,0.869572012865007
138,Cambodia (Kampuchea),2017,1,1,0.9804264169048714
139,Cambodia (Kampuchea),2018,1,1,0.9793219575537554
140,Cambodia (Kampuchea),2019,0,1,0.9771709634265355
141,Cambodia (Kampuchea),2020,0,0,0.3101620037949558
142,Cambodia (Kampuchea),2021,0,0,0.36671834390783764
143,Cambodia (Kampuchea),2022,0,0,0.33960207854863017
144,Cambodia (Kampuchea),2023,0,1,0.5032354383372657
145,Cameroon,2017,1,1,0.978155586159417
146,Cameroon,2018,1,1,0.8806640514199209
147,Cameroon,2019,1,1,0.9588541384676363
148,Cameroon,2020,1,1,0.9019426154873355
149,Cameroon,2021,1,1,0.869572012865007
150,Cameroon,2022,1,1,0.9536044399714536
151,Cameroon,2023,1,1,0.9764093839130986
152,Canada,2021,1,0,0.2826302029070581
153,Canada,2022,1,1,0.5355502925339475
154,Canada,2023,1,1,0.5426736916707195
155,Cabo Verde,2020,0,0,0.20594376937244716
156,Cabo Verde,2021,0,0,0.1983412101354155
157,Cabo Verde,2022,0,0,0.2361207040441809
158,Cabo Verde,2023,0,0,0.2512384440025793
159,Central African Republic,2017,1,1,0.978155586159417
160,Central African Republic,2018,1,1,0.8806640514199209
161,Central African Republic,2019,1,1,0.9588541384676363
162,Central African Republic,2020,1,1,0.9019426154873355
163,Central African Republic,2021,1,1,0.869572012865007
164,Central African Republic,2022,1,1,0.9536044399714536
165,Central African Republic,2023,1,1,0.9764093839130986
166,Chad,2017,0,0,0.1893967173073022
167,Chad,2018,0,0,0.16393388972708964
168,Chad,2019,1,0,0.15995170714163812
169,Chad,2020,1,1,0.9019426154873355
170,Chad,2021,1,1,0.869572012865007
171,Chad,2022,1,1,0.9536044399714536
172,Chad,2023,1,1,0.9764093839130986
173,Chile,2018,1,1,0.8205838391897656
174,Chile,2019,1,1,0.9918187846493942
175,Chile,2020,1,1,0.9918187846493942
176,Chile,2021,1,1,0.9918187846493942
177,Chile,2022,1,1,0.9918187846493942
178,Chile,2023,1,1,0.9918187846493942
179,China,2018,1,1,0.6183145449807019
180,China,2019,1,1,0.9918187846493942
181,China,2020,1,1,0.9918187846493942
182,China,2021,1,1,0.9918187846493942
183,China,2022,1,1,0.9918187846493942
184,China,2023,1,1,0.9918187846493942
185,Colombia,2018,1,1,0.8205838391897656
186,Colombia,2019,1,1,0.9684683609274993
187,Colombia,2020,1,1,0.9684683609274993
188,Colombia,2021,1,1,0.9684683609274993
189,Colombia,2022,1,1,0.9684683609274993
190,Colombia,2023,1,1,0.9684683609274993
191,Comoros,2020,0,0,0.20594376937244716
192,Comoros,2021,0,0,0.1983412101354155
193,Comoros,2022,1,0,0.2361207040441809
194,Comoros,2023,0,1,0.5121101620080415
195,Costa Rica,2018,1,1,0.7785605908515095
196,Costa Rica,2019,1,1,0.9007576623475588
197,Costa Rica,2020,1,1,0.9007576623475588
198,Costa Rica,2021,1,1,0.9007576623475588
199,Costa Rica,2022,1,1,0.9367661230959898
200,Costa Rica,2023,1,1,0.9675025362618233
201,Croatia,2018,0,0,0.10865212260085988
202,Croatia,2019,0,0,0.12979435745037546
203,Croatia,2020,0,0,0.1274047955511554
204,Croatia,2021,1,0,0.09651865387378031
205,Croatia,2022,0,1,0.6835044151988288
206,Croatia,2023,0,0,0.09407665239559089
207,Cuba,2018,0,1,0.7261094032012567
208,Cuba,2019,0,1,0.7261094032012567
209,Cuba,2020,1,1,0.7261094032012567
210,Cuba,2021,1,1,0.9889796929172858
211,Cuba,2022,1,1,0.9889796929172858
212,Cuba,2023,1,1,0.9889796929172858
213,Cyprus,2018,1,0,0.393965197996751
214,Cyprus,2019,1,1,0.9507707693377774
215,Cyprus,2020,1,1,0.9075544654462704
216,Cyprus,2021,1,1,0.8955540752140825
217,Cyprus,2022,1,1,0.9746422720419751
218,Cyprus,2023,1,1,0.995315873659113
219,Czechia,2020,0,0,0.1288239600089529
220,Czechia,2021,0,0,0.1274047955511554
221,Czechia,2022,0,0,0.09651865387378031
222,Czechia,2023,1,0,0.08653830485182648
223,DR Congo (Zaire),2017,1,1,0.978155586159417
224,DR Congo (Zaire),2018,1,1,0.8806640514199209
225,DR Congo (Zaire),2019,1,1,0.9588541384676363
226,DR Congo (Zaire),2020,1,1,0.9019426154873355
227,DR Congo (Zaire),2021,1,1,0.869572012865007
228,DR Congo (Zaire),2022,1,1,0.9536044399714536
229,DR Congo (Zaire),2023,1,1,0.9764093839130986
230,Denmark,2020,1,1,0.8205838391897656
231,Denmark,2021,0,1,0.9918187846493942
232,Denmark,2022,0,0,0.45172012504195014
233,Denmark,2023,0,0,0.4755609805998755
234,Djibouti,2017,0,0,0.059170444051573276
235,Djibouti,2018,0,0,0.04673297232732593
236,Djibouti,2019,0,0,0.04725656958197816
237,Djibouti,2020,0,0,0.053463100379890834
238,Djibouti,2021,0,0,0.06389146803336997
239,Djibouti,2022,0,0,0.06624478171654992
240,Djibouti,2023,1,0,0.04814887110578042
241,Dominican Republic,2018,1,1,0.7785605908515095
242,Dominican Republic,2019,1,1,0.8922433105939794
243,Dominican Republic,2020,0,1,0.8922433105939794
244,Dominican Republic,2021,1,0,0.4292323478364907
245,Dominican Republic,2022,1,1,0.894755162288595
246,Dominican Republic,2023,1,1,0.9007576623475588
247,East Timor,2020,0,0,0.0020289022517848672
248,East Timor,2021,0,0,0.009385739734922498
249,East Timor,2022,0,0,0.024086044795554443
250,East Timor,2023,0,0,0.05476783617571135
251,Ecuador,2018,1,1,0.8205838391897656
252,Ecuador,2019,1,1,0.9684683609274993
253,Ecuador,2020,1,1,0.9684683609274993
254,Ecuador,2021,1,1,0.9684683609274993
255,Ecuador,2022,1,1,0.9684683609274993
256,Ecuador,2023,1,1,0.9684683609274993
257,Egypt,2017,1,1,0.99962852897474
258,Egypt,2018,1,1,1.0
259,Egypt,2019,1,1,0.9995047052996532
260,Egypt,2020,1,1,0.9995047052996532
261,Egypt,2021,1,1,0.9992075284794452
262,Egypt,2022,1,1,0.9980312035661217
263,Egypt,2023,0,1,0.9980312035661217
264,El Salvador,2018,1,1,0.7785605908515095
265,El Salvador,2019,1,1,0.9007576623475588
266,El Salvador,2020,1,1,0.9007576623475588
267,El Salvador,2021,1,1,0.9007576623475588
268,El Salvador,2022,0,1,0.9367661230959898
269,El Salvador,2023,0,0,0.45108331757007575
270,Equatorial Guinea,2017,0,0,0.04188637019246229
271,Equatorial Guinea,2018,0,0,0.04188637019246229
272,Equatorial Guinea,2019,0,0,0.04834377690989871
273,Equatorial Guinea,2020,0,0,0.13273616612485606
274,Equatorial Guinea,2021,0,0,0.10564641173198121
275,Equatorial Guinea,2022,0,0,0.09680996585987413
276,Equatorial Guinea,2023,0,0,0.23925088328331065
277,Eritrea,2017,0,0,0.13440290722980203
278,Eritrea,2018,0,0,0.1270841239823412
279,Eritrea,2019,0,0,0.12364933028008838
280,Eritrea,2020,0,0,0.12979435745037546
281,Eritrea,2021,0,0,0.1274047955511554
282,Eritrea,2022,0,0,0.09651865387378031
283,Eritrea,2023,0,0,0.08653830485182648
284,Estonia,2020,0,0,0.09651865387378031
285,Estonia,2021,0,0,0.08653830485182648
286,Estonia,2022,0,0,0.08604301015147978
287,Estonia,2023,0,0,0.08953103195302309
288,Ethiopia,2017,1,1,0.6286652137692254
289,Ethiopia,2018,1,1,0.6286652137692254
290,Ethiopia,2019,1,1,0.6760053633010538
291,Ethiopia,2020,1,1,0.7747925881283979
292,Ethiopia,2021,1,1,0.7831182561866069
293,Ethiopia,2022,1,1,0.7831182561866069
294,Ethiopia,2023,1,1,0.8406272776257924
295,Fiji,2021,0,0,0.13687525327569927
296,Fiji,2022,0,0,0.3140363392592219
297,Fiji,2023,0,0,0.3108870863328515
298,Finland,2020,1,0,0.49248664736384345
299,Finland,2021,0,1,0.9924219910846955
300,Finland,2022,0,0,0.240424752509579
301,Finland,2023,0,0,0.25726940585563085
302,France,2020,1,1,0.8205838391897656
303,France,2021,1,1,0.9918187846493942
304,France,2022,1,1,0.9918187846493942
305,France,2023,1,1,0.9918187846493942
306,Gabon,2017,0,1,0.978155586159417
307,Gabon,2018,1,0,0.33281810172034176
308,Gabon,2019,1,1,0.9588541384676363
309,Gabon,2020,1,1,0.9019426154873355
310,Gabon,2021,1,1,0.869572012865007
311,Gabon,2022,1,1,0.9536044399714536
312,Gabon,2023,1,1,0.9764093839130986
313,Gambia,2017,1,0,0.46399278834047175
314,Gambia,2018,0,1,0.8756307982148525
315,Gambia,2019,0,0,0.3700075077570147
316,Gambia,2020,1,0,0.46623462199759763
317,Gambia,2021,1,1,0.9348634478317691
318,Gambia,2022,0,1,0.978155586159417
319,Gambia,2023,0,0,0.33281810172034176
320,Georgia,2018,1,0,0.11078222792561598
321,Georgia,2019,1,1,0.7120988931989533
322,Georgia,2020,1,1,0.7120988931989533
323,Georgia,2021,1,1,0.6835044151988288
324,Georgia,2022,1,1,0.6816676973517096
325,Georgia,2023,1,1,0.6865181816041259
326,Germany,2020,1,1,0.9205397257169741
327,Germany,2021,1,1,0.898088538504587
328,Germany,2022,1,1,0.898088538504587
329,Germany,2023,1,1,0.898088538504587
330,Ghana,2017,1,1,0.9019426154873355
331,Ghana,2018,1,1,0.869572012865007
332,Ghana,2019,1,1,0.9536044399714536
333,Ghana,2020,1,1,0.9764093839130986
334,Ghana,2021,1,1,0.9804264169048714
335,Ghana,2022,1,1,0.9793219575537554
336,Ghana,2023,1,1,0.9771709634265355
337,Greece,2018,1,1,0.6183145449807019
338,Greece,2019,1,1,0.9684683609274993
339,Greece,2020,1,1,0.9684683609274993
340,Greece,2021,1,1,0.9684683609274993
341,Greece,2022,1,1,0.9684683609274993
342,Greece,2023,1,1,0.9684683609274993
343,Guatemala,2018,1,1,0.7785605908515095
344,Guatemala,2019,1,1,0.9007576623475588
345,Guatemala,2020,1,1,0.9007576623475588
346,Guatemala,2021,1,1,0.9007576623475588
347,Guatemala,2022,1,1,0.9367661230959898
348,Guatemala,2023,1,1,0.9675025362618233
349,Guinea,2017,1,1,0.9588541384676363
350,Guinea,2018,1,1,0.9019426154873355
351,Guinea,2019,1,1,0.869572012865007
352,Guinea,2020,1,1,0.9536044399714536
353,Guinea,2021,1,1,0.9764093839130986
354,Guinea,2022,1,1,0.9804264169048714
355,Guinea,2023,1,1,0.9793219575537554
356,Guinea-Bissau,2017,0,0,0.053463100379890834
357,Guinea-Bissau,2018,0,0,0.06389146803336997
358,Guinea-Bissau,2019,0,0,0.06624478171654992
359,Guinea-Bissau,2020,0,0,0.04814887110578042
360,Guinea-Bissau,2021,0,0,0.0459209891973636
361,Guinea-Bissau,2022,0,0,0.07528806655320724
362,Guinea-Bissau,2023,0,0,0.04188637019246229
363,Guyana,2018,0,0,0.3140363392592219
364,Guyana,2019,0,0,0.10564641173198121
365,Guyana,2020,1,0,0.09680996585987413
366,Guyana,2021,1,1,0.8733533427693969
367,Guyana,2022,1,1,0.9348634478317691
368,Guyana,2023,1,1,0.978155586159417
369,Haiti,2018,1,1,0.7248900884232496
370,Haiti,2019,1,1,0.9460758285795432
371,Haiti,2020,1,1,0.9518506011076591
372,Haiti,2021,1,1,0.9549886468162844
373,Haiti,2022,1,1,0.9521477779278672
374,Haiti,2023,1,1,0.9614345535593681
375,Honduras,2018,1,1,0.7785605908515095
376,Honduras,2019,1,1,0.9007576623475588
377,Honduras,2020,1,1,0.9007576623475588
378,Honduras,2021,1,1,0.9007576623475588
379,Honduras,2022,1,1,0.9367661230959898
380,Honduras,2023,1,1,0.9675025362618233
381,Hungary,2020,0,0,0.49248664736384345
382,Hungary,2021,0,0,0.49248664736384345
383,Hungary,2022,0,0,0.49248664736384345
384,Hungary,2023,1,0,0.49248664736384345
385,Iceland,2020,0,1,0.8007729211990555
386,Iceland,2021,0,1,0.782522143919347
387,Iceland,2022,0,1,0.7531776214284649
388,Iceland,2023,0,1,0.7472762667158173
389,India,2017,1,1,0.90953751135772
390,India,2018,1,1,0.898088538504587
391,India,2019,1,1,0.898088538504587
392,India,2020,1,1,0.898088538504587
393,India,2021,1,1,0.898088538504587
394,India,2022,1,1,0.896659259512158
395,India,2023,1,1,0.895421022761291
396,Indonesia,2017,1,1,0.9327332688773998
397,Indonesia,2018,1,1,0.9327332688773998
398,Indonesia,2019,1,1,0.898088538504587
399,Indonesia,2020,1,1,0.896659259512158
400,Indonesia,2021,1,1,0.9310740316312385
401,Indonesia,2022,1,1,0.8895492612060225
402,Indonesia,2023,1,1,0.8895492612060225
403,Iran,2017,1,1,0.9918187846493942
404,Iran,2018,1,1,0.9918187846493942
405,Iran,2019,1,1,0.9918187846493942
406,Iran,2020,1,1,0.9918187846493942
407,Iran,2021,1,1,0.9918187846493942
408,Iran,2022,1,1,0.9918187846493942
